id,title,release_date,popularity,vote_average,vote_count
796499,Army of Thieves,27/10/2021,154.095,6.9,1324
864873,Hypnotic,27/10/2021,48.812,6.1,427
618162,The Harder They Fall,22/10/2021,109.406,6.7,703
785538,7 Prisoners,22/10/2021,90.902,7.2,253
576845,Last Night in Soho,21/10/2021,78.772,7.5,1686
542178,The French Dispatch,21/10/2021,42.939,7.2,1524
617762,The Electrical Life of Louis Wain,21/10/2021,14.313,7.1,260
669671,Night Teeth,20/10/2021,53.139,6.6,539
785516,Stuck Together,20/10/2021,18.975,6,287
660000,Lost Illusions,20/10/2021,14.622,7.5,235
860623,Last Man Down,19/10/2021,414.928,6.3,482
747688,Yara,18/10/2021,21.629,6.3,285
482321,Ron's Gone Wrong,15/10/2021,231.315,8.1,1264
610253,Halloween Kills,14/10/2021,153.938,6.7,1756
617653,The Last Duel,13/10/2021,160.498,7.5,2187
660120,The Worst Person in the World,13/10/2021,26.984,7.6,528
831405,Injustice,09/10/2021,100.135,7.7,565
858815,Photocopier,08/10/2021,63.371,7.1,202
766798,Parallel Mothers,08/10/2021,31.412,6.9,585
655082,Eiffel,07/10/2021,14.632,6.3,363
639721,The Addams Family 2,01/10/2021,198.065,7.2,859
580489,Venom: Let There Be Carnage,30/09/2021,646.11,7,7451
370172,No Time to Die,29/09/2021,223.911,7.5,4188
740925,No One Gets Out Alive,29/09/2021,85.391,6,394
753453,V/H/S/94,26/09/2021,13.701,6.4,238
567748,The Guilty,24/09/2021,36.619,6.4,1708
597316,My Little Pony: A New Generation,23/09/2021,106.117,8,208
750253,My Son,23/09/2021,13.352,6.3,246
524369,The Many Saints of Newark,22/09/2021,68.788,6.6,401
785752,Intrusion,22/09/2021,35.737,6,460
601470,The Eyes of Tammy Faye,17/09/2021,11.384,6.6,340
749274,Cry Macho,16/09/2021,26.993,6.1,629
438631,Dune,15/09/2021,233.742,7.9,7111
739990,Nightbooks,15/09/2021,72.324,6.4,247
671043,Spoiled Brats,15/09/2021,61.006,6.3,285
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,14/09/2021,128.798,8.2,291
597891,Kate,10/09/2021,67.664,6.7,1062
581726,Infinite,09/09/2021,204.206,6.7,1076
763148,Time Is Up,09/09/2021,128.835,6.4,338
738652,Copshop,09/09/2021,28.036,6.2,401
663260,Black Box,08/09/2021,11.171,7.5,629
593910,Cinderella,03/09/2021,57.347,6.5,1099
643532,The Card Counter,03/09/2021,27.562,6.3,551
785457,Afterlife of the Party,02/09/2021,28.928,6.9,353
566525,Shang-Chi and the Legend of the Ten Rings,01/09/2021,527.763,7.7,6590
744275,After We Fell,01/09/2021,287.281,7.1,1720
619778,Malignant,01/09/2021,85.657,6.9,1487
841755,Mortal Kombat Legends: Battle of the Realms,30/08/2021,107.087,7.9,269
347626,He's All That,27/08/2021,74.421,6.8,954
653349,Vacation Friends,27/08/2021,51.812,7.2,453
628914,Queenpins,26/08/2021,13.955,6.5,210
565028,Candyman,25/08/2021,57.396,6.2,980
645710,The Voyeurs,25/08/2021,46.651,6.7,489
666243,The Witcher: Nightmare of the Wolf,23/08/2021,17.181,7.7,640
645788,The Protégé,19/08/2021,77.373,6.6,632
579047,Reminiscence,19/08/2021,28.094,6.8,1195
619297,Sweet Girl,18/08/2021,99.562,6.8,914
637534,The Stronghold,18/08/2021,88.763,7.5,820
758866,Drive My Car,18/08/2021,18.998,7.4,648
708577,Like a Cat on a Highway 2,14/08/2021,5.663,6.1,259
482373,Don't Breathe 2,12/08/2021,171.872,7.4,1670
573164,An Egg Rescue,12/08/2021,154.857,8,307
592863,Respect,12/08/2021,32.375,6.8,224
